TIME,SCORE,EMOTION
19:05:,6,sad
19:06:,33,sad
19:07:,-17,neutral
19:08:,15,neutral
19:08:,4,neutral
19:15:,12,happy
19:20:,96,neutral
19:22:,1,sad
19:24:,15,happy
19:25:,1,happy
19:27:,-1,neutral
19:28:,2,sad
19:31:,-1,sad
19:31:,0,neutral
19:34:,1,happy
19:34:,1,neutral
19:37:,2,happy
19:39:,18,sad
19:39:,1,neutral
19:40:,3,sad
19:40:,15,sad
19:43:,3,neutral
19:43:,3,neutral
19:43:,5,neutral
19:43:,26,sad
19:44:,1,sad
19:45:,1,sad
19:46:,6,neutral
19:48:,3,neutral
19:52:,5,neutral
19:53:,1,neutral
19:53:,1,happy
19:54:,47,neutral
19:54:,1,neutral
19:56:,-5,hate
19:57:,401,happy
19:58:,58,sad
20:00:,4,neutral
20:00:,58,happy
20:08:,110,neutral
20:08:,1,sad
20:09:,2,sad
20:10:,9,happy
20:10:,1,sad
20:11:,2,sad
20:12:,1,hate
20:13:,160,neutral
20:17:,1,neutral
20:22:,1,neutral
20:25:,4,neutral
20:25:,56,neutral
20:26:,-6,neutral
20:26:,7,neutral
20:26:,1,neutral
20:26:,0,neutral
20:27:,2,anger
20:28:,1,sad
20:29:,5,neutral
20:31:,174,sad
20:37:,2,neutral
20:41:,1,neutral
20:42:,1,happy
20:42:,19,neutral
20:44:,4,sad
20:44:,10,neutral
20:44:,2,hate
20:44:,1,neutral
20:44:,6,happy
20:46:,5,neutral
20:47:,3,neutral
20:49:,-1,neutral
20:50:,-29,sad
20:50:,37,neutral
20:51:,9,neutral
20:53:,11,happy
20:56:,1,sad
20:56:,657,neutral
20:57:,3,happy
21:00:,2,neutral
21:01:,171,neutral
21:01:,230,happy
21:03:,23,neutral
21:04:,3,hate
21:04:,1,sad
21:04:,10,sad
21:04:,3,happy
21:04:,6,neutral
21:04:,3,happy
21:05:,19,sad
21:06:,2,neutral
21:06:,6,neutral
21:10:,3,happy
21:10:,5,neutral
21:11:,25,happy
21:12:,168,neutral
21:12:,3,neutral
21:15:,31,neutral
21:16:,2,happy
21:17:,1,neutral
21:19:,24,neutral
21:20:,1,neutral
21:21:,1,happy
21:21:,1,neutral
21:22:,1,happy
21:24:,1,neutral
21:24:,1,happy
21:25:,13,happy
21:27:,2,sad
21:27:,1,neutral
21:28:,93,sad
21:31:,12,neutral
21:34:,5,sad
21:34:,59,neutral
21:35:,28,happy
21:35:,1,neutral
21:36:,13,neutral
21:40:,4,neutral
21:40:,5,sad
21:40:,2,neutral
21:41:,3,sad
21:43:,-16,sad
21:44:,0,neutral
21:45:,1,sad
21:48:,5,anger
21:48:,7,sad
21:49:,11,sad
21:51:,1,neutral
21:52:,3,happy
21:53:,-33,happy
21:53:,0,neutral
21:56:,-12,neutral
21:59:,2,neutral
22:01:,0,neutral
22:01:,28,neutral
22:01:,2,happy
22:02:,1,sad
22:03:,4,happy
22:03:,0,neutral
22:04:,4,happy
22:05:,1,happy
22:05:,1,neutral
22:07:,19,neutral
22:08:,1,neutral
22:10:,1,neutral
22:13:,2,neutral
22:13:,1,sad
22:14:,13,hate
22:14:,1,neutral
22:15:,5,happy
22:16:,1,neutral
22:17:,1,neutral
22:18:,1,neutral
22:20:,1,sad
22:21:,1,neutral
22:22:,1,neutral
22:23:,4,happy
22:23:,0,neutral
22:23:,3,happy
22:25:,21,neutral
22:26:,2,happy
22:28:,2,neutral
22:29:,2,anger
22:29:,1,sad
22:30:,1,neutral
22:31:,2,sad
22:32:,1,neutral
22:33:,43,sad
22:36:,2,neutral
22:36:,2,neutral
22:36:,1,sad
22:36:,-2,happy
22:38:,1,sad
22:38:,1,happy
22:38:,2,happy
22:39:,1,happy
22:39:,6,happy
22:40:,53,neutral
22:41:,2,sad
22:45:,313,neutral
22:46:,1,sad
22:47:,8,happy
22:47:,1,happy
22:47:,1,sad
22:48:,9,sad
22:48:,6,sad
22:50:,2,sad
22:51:,10,happy
22:52:,3,happy
22:53:,294,neutral
22:53:,1,happy
22:54:,0,sad
22:54:,13,neutral
22:54:,9,neutral
22:55:,1,sad
23:04:,2,neutral
23:04:,-28,neutral
23:05:,5,neutral
23:06:,3,happy
23:09:,1,neutral
23:09:,1,sad
23:10:,8,neutral
23:11:,3,sad
23:13:,4,sad
23:15:,2,happy
23:15:,4,sad
23:16:,22,neutral
23:17:,2,neutral
23:19:,3,neutral
23:19:,1,neutral
23:19:,1,neutral
23:20:,2,hate
23:21:,33,neutral
23:22:,3,neutral
23:23:,1,neutral
23:24:,6,happy
23:27:,1,happy
23:28:,1,neutral
23:28:,2,sad
23:29:,10,happy
23:29:,102,sad
23:29:,2,sad
23:29:,2,happy
23:29:,1,neutral
23:29:,3,sad
23:29:,7,happy
23:30:,1,neutral
23:31:,1,neutral
23:31:,6,neutral
23:31:,-32,neutral
23:31:,23,hate
23:31:,4,sad
23:31:,2,sad
23:31:,5,happy
23:31:,5,sad
23:32:,3,sad
23:32:,1,neutral
23:32:,48,happy
23:33:,2,happy
23:33:,261,sad
23:34:,5,happy
23:34:,11,happy
23:34:,9,happy
23:35:,71,sad
23:35:,5,neutral
23:35:,1,neutral
23:35:,47,sad
23:35:,9,happy
23:35:,1,neutral
23:35:,8,sad
